,name,type,thc_level,most_common_terpene,relaxed,happy,euphoric,uplifted,sleepy,dry_mouth,dry_eyes,dizzy,paranoid,anxious,stress,pain,depression,anxiety,insomnia,hungry,talkative,headache,ptsd,creative,energetic,fatigue,focused,giggly,lack_of_appetite,nausea,headaches,bipolar_disorder,cancer,tingly,cramps,aroused,gastrointestinal_disorder,inflammation,muscle_spasms,eye_pressure,migraines,asthma,anorexia,arthritis,add/adhd,muscular_dystrophy,hypertension,glaucoma,pms,seizures,spasticity,spinal_cord_injury,fibromyalgia,crohns_disease,phantom_limb_pain,epilepsy,multiple_sclerosis,parkinsons,tourettes_syndrome,alzheimers,hiv/aids,tinnitus
0,GG4,Hybrid,20.0,Caryophyllene,66.0,54.0,51.0,39.0,27.0,24.0,12.0,5.0,4.0,4.0,29.0,24.0,23.0,22.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,Wedding Cake,Hybrid,22.0,Limonene,60.0,50.0,41.0,35.0,0.0,17.0,7.0,4.0,2.0,2.0,19.0,12.0,14.0,16.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,Runtz,Hybrid,19.0,Limonene,47.0,62.0,48.0,43.0,0.0,9.0,4.0,3.0,0.0,1.0,13.0,7.0,11.0,11.0,0.0,0.0,31.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,Gelato,Hybrid,17.0,Caryophyllene,54.0,49.0,46.0,37.0,0.0,20.0,9.0,4.0,3.0,3.0,22.0,16.0,18.0,19.0,10.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,Blue Dream,Hybrid,18.0,Myrcene,48.0,57.0,52.0,48.0,0.0,29.0,16.0,6.0,6.0,0.0,36.0,26.0,27.0,29.0,13.0,0.0,0.0,3.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,Purple Punch,Indica,19.0,Caryophyllene,70.0,47.0,40.0,26.0,39.0,20.0,10.0,5.0,0.0,2.0,24.0,18.0,17.0,24.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,Ice Cream Cake,Indica,20.0,Limonene,75.0,50.0,42.0,29.0,40.0,13.0,7.0,2.0,0.0,1.0,20.0,17.0,16.0,21.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,GSC,Hybrid,19.0,Caryophyllene,55.0,60.0,52.0,45.0,0.0,25.0,13.0,5.0,4.0,4.0,33.0,25.0,26.0,25.0,13.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,OG Kush,Hybrid,18.0,Myrcene,52.0,56.0,50.0,38.0,0.0,34.0,20.0,7.0,7.0,0.0,38.0,27.0,24.0,28.0,20.0,30.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Sour Diesel,Sativa,18.0,Caryophyllene,0.0,57.0,49.0,50.0,0.0,31.0,17.0,7.0,9.0,0.0,34.0,21.0,26.0,25.0,0.0,0.0,0.0,4.0,0.0,38.0,45.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
